Customer Tier,Transaction date,Replace,Remove,Firedoor,Drop Test,Bumpers,Is_customer_Lenworth,Specialty Door,Dock Seal,Door(general),Hardware/Parts,Dimensions,Column1,Work_type,sqft_services,Flat_Services,Operator/Opener,Install,Quantity,Sales price,Amount,Totals,Distance,service,Distance Tier,unique,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,door_width,door_height,door_sqft,size_source,size_confidence,size_note
Recurring,15/03/2021,0,0,0,0,0,0,0,0,1,0,12 * 9,,Install,Door (General),,0,1,1.0,3220.0,3220.0,3638.6,166.52,Door (General) Install,1,,,,,,,,530.0,back_calculated,high,back_calculated | raw=532.2 snapped=530
Recurring,20/03/2025,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,3200.0,3200.0,3616.0,136.29,Door (General) Install,1,,,,,,,,530.0,back_calculated,high,back_calculated | raw=528.9 snapped=530
Recurring,10/04/2024,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,2.0,6200.0,6200.0,7006.0,83.94,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,20/03/2023,0,0,0,0,0,0,0,0,1,0,,,Repair,Door (General),,0,0,1.0,3040.0,3040.0,3435.2,63.41,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,29/07/2023,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,3000.0,3000.0,3390.0,139.8,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,19/05/2022,0,0,0,0,0,0,0,0,1,0,16 * 7,,Supply & Install,Door (General),,0,0,1.0,2860.0,2860.0,3231.8,49.68,Door (General) Supply & Install,0,,,,,,,,475.0,back_calculated,high,back_calculated | raw=472.7 snapped=475
Recurring,17/05/2022,0,0,0,0,0,0,0,0,1,0,9 * 10,,Supply Only,Door (General),,0,0,2.0,2820.0,5640.0,6373.2,163.0,,1,,,,,,,,,standard_default,low,no_size_applicable
Recurring,26/07/2022,0,1,0,0,0,0,0,0,1,0,,,Remove and Replace,Door (General),,0,0,1.0,2800.0,2800.0,3164.0,29.0,,0,,,,,,,,,standard_default,low,no_size_applicable
Recurring,05/02/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2790.0,2790.0,3152.7,159.0,Door (General) Install,1,,,,,,,,460.0,back_calculated,high,back_calculated | raw=461.2 snapped=460
Loyalty,30/06/2022,0,0,0,0,0,1,0,0,0,0,,,Install,Other/Misc,,0,1,1.0,2700.0,2700.0,3051.0,8.76,Other/Misc Install,0,,,,,,,,615.0,back_calculated,high,back_calculated | raw=613.6 snapped=615
Recurring,14/06/2023,0,0,0,0,0,0,0,0,1,0,8 * 7,,Supply & Install,Door (General),,0,0,1.0,2690.0,2690.0,3039.7,180.79,Door (General) Supply & Install,1,,,,,,,,445.0,back_calculated,high,back_calculated | raw=444.6 snapped=445
Recurring,27/02/2023,0,0,0,0,0,0,0,0,1,0,9 * 8,,Supply & Install,Door (General),,0,0,1.0,2640.0,2640.0,2983.2,328.33,Door (General) Supply & Install,3,,,,,,,,435.0,back_calculated,high,back_calculated | raw=436.4 snapped=435
Recurring,20/12/2021,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2620.0,2620.0,2960.6,417.21,Door (General) Install,4,,,,,,,,435.0,back_calculated,high,back_calculated | raw=433.1 snapped=435
Recurring,30/09/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,19.02,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,36.71,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
Recurring,26/11/2022,0,0,0,0,0,0,0,0,1,0,,,Install,Door (General),,0,1,1.0,2600.0,2600.0,2938.0,53.7,Door (General) Install,0,,,,,,,,430.0,back_calculated,high,back_calculated | raw=429.8 snapped=430
