Quantity,Door_Size2,Transaction date,Is_customer_Lenworth2,Distance,Bumpers2,Operator/Opener2,Dock Seal2,Install2,Door(general)2,Drop Test2,Hardware/Parts2,Specialty Door2,Firedoor2,Replace2
1,0,0,1,110,0,0,0,0,0,0,0,0,0,0
23,9,0,1,110,0,0,0,1,1,0,0,0,0,0
2,173,0,1,110,0,0,0,1,0,0,0,0,0,0
21,64,0,1,110,0,0,0,1,0,0,0,0,0,0
1,109,0,1,110,0,0,0,0,0,0,0,0,0,1
1,55,0,0,110,0,0,0,0,0,0,0,0,0,0
4,0,0,1,111,0,0,1,1,0,0,0,0,0,0
1,0,0,1,112,0,0,0,1,0,0,1,0,0,0
3,18,0,1,112,0,0,0,0,1,0,0,0,0,0
3,111,0,1,112,0,0,0,1,1,0,0,0,0,0
1,436,0,0,113,0,0,0,1,0,0,0,0,0,0
1,473,0,0,113,0,0,0,1,0,0,0,0,0,0
3,127,0,0,115,0,0,0,1,1,0,0,0,0,0
1,400,0,0,115,0,0,0,1,1,0,0,0,0,0
1,273,0,0,115,0,0,0,0,1,0,0,0,0,1
2,883,0,0,116,0,0,0,1,0,0,0,0,0,0
1,436,0,0,116,0,0,0,1,0,0,0,0,0,0
6.75,18,0,1,117,0,0,0,0,0,0,0,0,0,0
4,64,0,1,117,0,0,0,1,0,0,0,0,0,0
7,18,0,1,117,0,0,0,0,1,0,0,0,0,0
1,0,0,1,117,0,0,0,0,0,0,0,0,0,0
1,364,0,1,117,0,0,0,1,1,0,0,0,0,0
5,73,0,1,117,0,0,0,1,1,0,0,0,0,0
1,145,0,1,117,0,0,0,1,0,0,0,0,0,0
1,436,0,0,117,0,0,0,1,0,0,0,0,0,0
9,0,0,0,117,0,0,0,0,0,0,1,0,0,0
2,227,0,0,117,0,0,0,1,1,0,0,0,0,0
29,0,0,0,118,0,0,1,1,0,0,0,0,0,0
1,627,0,0,120,0,0,0,0,1,0,0,0,0,0
2,660,0,0,120,0,0,0,1,0,0,0,0,0,0
1,436,0,0,121,0,0,0,1,0,0,0,0,0,0
3,471,0,0,122,0,0,0,0,0,0,0,1,0,0
1,2182,0,1,122,0,0,0,1,1,0,0,0,0,0
1,291,0,0,122,0,0,0,1,0,0,0,0,0,0
1,436,0,0,122,0,0,0,1,0,0,0,0,0,0
1,27,0,1,123,0,0,0,1,1,0,0,0,0,0
2,127,0,0,123,0,0,0,0,0,0,0,0,0,0
60,73,0,1,125,0,0,0,1,1,0,0,0,0,0
1,0,0,1,126,0,0,0,0,0,0,1,0,0,1
2,227,0,1,126,0,0,0,1,0,1,0,0,0,0
4,273,0,0,127,0,0,0,1,0,0,0,0,0,0
1,127,0,0,127,0,0,0,0,0,0,0,0,0,0
34,0,0,0,128,0,0,1,1,0,0,0,0,0,0
1,359,0,0,128,0,0,0,0,0,0,0,0,0,0
1,1984,0,1,130,0,0,0,1,0,0,0,0,0,0
8,158,0,1,130,0,0,0,1,1,0,0,0,0,0
1,473,0,0,131,0,0,0,1,0,0,0,0,0,0
1,473,0,0,132,0,0,0,1,0,0,0,0,0,0
1,136,0,1,132,0,0,0,1,1,0,0,0,0,0
1,0,0,0,132,0,0,0,1,0,0,1,0,0,0
1,0,0,0,132,0,0,1,1,0,0,0,0,0,0
3,380,0,0,133,0,0,0,0,1,0,0,0,0,0
2,392,0,0,133,0,0,0,0,1,0,0,0,0,0
2,100,0,1,136,0,0,0,1,0,0,0,0,0,0
